year,state,state_po,office,totalvotes
2008,SOUTH CAROLINA,SC,US PRESIDENT,1920969
2008,SOUTH DAKOTA,SD,US PRESIDENT,381975
2008,TENNESSEE,TN,US PRESIDENT,2599749
2008,TEXAS,TX,US PRESIDENT,8077795
2008,UTAH,UT,US PRESIDENT,952370
2008,VERMONT,VT,US PRESIDENT,325046
2008,VIRGINIA,VA,US PRESIDENT,3723260
2008,WASHINGTON,WA,US PRESIDENT,3036878
2008,WEST VIRGINIA,WV,US PRESIDENT,713451
2008,WISCONSIN,WI,US PRESIDENT,2983417
2008,WYOMING,WY,US PRESIDENT,254904
2012,ALABAMA,AL,US PRESIDENT,2074338
2012,ALASKA,AK,US PRESIDENT,300495
2012,ARIZONA,AZ,US PRESIDENT,2299254
2012,ARKANSAS,AR,US PRESIDENT,1069468
2012,CALIFORNIA,CA,US PRESIDENT,13038547
2012,COLORADO,CO,US PRESIDENT,2569516
2012,CONNECTICUT,CT,US PRESIDENT,1558204
2012,DELAWARE,DE,US PRESIDENT,413890
2012,DISTRICT OF COLUMBIA,DC,US PRESIDENT,293764
2012,FLORIDA,FL,US PRESIDENT,8474179
2012,GEORGIA,GA,US PRESIDENT,3897839
2012,HAWAII,HI,US PRESIDENT,437159
2012,IDAHO,ID,US PRESIDENT,652274
2012,ILLINOIS,IL,US PRESIDENT,5242014
2012,INDIANA,IN,US PRESIDENT,2624534
2012,IOWA,IA,US PRESIDENT,1582180
2012,KANSAS,KS,US PRESIDENT,1159971
2012,KENTUCKY,KY,US PRESIDENT,1797212
2012,LOUISIANA,LA,US PRESIDENT,1994065
2012,MAINE,ME,US PRESIDENT,724758
2012,MARYLAND,MD,US PRESIDENT,2707327
2012,MASSACHUSETTS,MA,US PRESIDENT,3184196
2012,MICHIGAN,MI,US PRESIDENT,4730961
2012,MINNESOTA,MN,US PRESIDENT,2936561
2012,MISSISSIPPI,MS,US PRESIDENT,1285584
2012,MISSOURI,MO,US PRESIDENT,2757323
2012,MONTANA,MT,US PRESIDENT,484048
2012,NEBRASKA,NE,US PRESIDENT,794379
2012,NEVADA,NV,US PRESIDENT,1014918
2012,NEW HAMPSHIRE,NH,US PRESIDENT,710972
2012,NEW JERSEY,NJ,US PRESIDENT,3638499
2012,NEW MEXICO,NM,US PRESIDENT,783758
2012,NEW YORK,NY,US PRESIDENT,7116784
2012,NORTH CAROLINA,NC,US PRESIDENT,4505372
2012,NORTH DAKOTA,ND,US PRESIDENT,322932
2012,OHIO,OH,US PRESIDENT,5580822
2012,OKLAHOMA,OK,US PRESIDENT,1334872
2012,OREGON,OR,US PRESIDENT,1789270
2012,PENNSYLVANIA,PA,US PRESIDENT,5742040
2012,RHODE ISLAND,RI,US PRESIDENT,446049
2012,SOUTH CAROLINA,SC,US PRESIDENT,1964118
2012,SOUTH DAKOTA,SD,US PRESIDENT,363815
2012,TENNESSEE,TN,US PRESIDENT,2458577
2012,TEXAS,TX,US PRESIDENT,7993851
2012,UTAH,UT,US PRESIDENT,1017440
2012,VERMONT,VT,US PRESIDENT,299290
2012,VIRGINIA,VA,US PRESIDENT,3854489
2012,WASHINGTON,WA,US PRESIDENT,3125516
2012,WEST VIRGINIA,WV,US PRESIDENT,670438
2012,WISCONSIN,WI,US PRESIDENT,3071434
2012,WYOMING,WY,US PRESIDENT,250701
2016,ALABAMA,AL,US PRESIDENT,2123372
2016,ALASKA,AK,US PRESIDENT,318608
2016,ARIZONA,AZ,US PRESIDENT,2573165
2016,ARKANSAS,AR,US PRESIDENT,1130635
2016,CALIFORNIA,CA,US PRESIDENT,14181595
2016,COLORADO,CO,US PRESIDENT,2780220
2016,CONNECTICUT,CT,US PRESIDENT,1644920
2016,DELAWARE,DE,US PRESIDENT,441590
2016,DISTRICT OF COLUMBIA,DC,US PRESIDENT,312575
2016,FLORIDA,FL,US PRESIDENT,9420039
2016,GEORGIA,GA,US PRESIDENT,4114732
2016,HAWAII,HI,US PRESIDENT,437664
